x1	x2	x3	x4	x5	x6
1	2	38	7	5	4
2	4	31	6	5	3
3	0	42	8	5	1
1	3	16	3	3	3
2	5	10	2	2	3
1	5	1	0	4	0
3	4	21	4	4	4
2	0	24	4	2	5
0	2	1	0	5	3
0	7	14	2	3	5
0	0	38	7	1	6
2	1	28	5	3	6
3	0	25	5	1	3
3	1	14	2	4	2
2	4	20	4	5	4
1	5	20	4	5	5
3	7	31	6	2	0
3	7	14	2	5	2
3	4	2	0	0	6
2	1	7	1	0	3
1	2	23	4	1	3
3	0	8	1	3	6
2	7	36	7	3	5
0	2	38	7	0	5
0	2	32	6	0	4
2	6	19	3	3	0
1	2	29	5	5	3
2	0	11	2	2	4
2	0	32	6	1	5
2	0	15	3	2	4
3	6	9	1	0	3
3	6	42	8	1	4
2	0	6	1	5	4
1	5	17	3	1	5
2	7	28	5	5	5
1	5	42	8	5	4
3	7	26	5	3	5
1	2	5	1	0	3
1	5	30	6	3	5
0	4	14	2	4	4
0	2	9	1	1	6
0	2	35	7	4	6
0	7	31	6	0	4
1	4	22	4	1	0
1	3	36	7	4	0
3	7	12	2	0	6
1	5	17	3	1	4
2	0	12	2	3	0
3	6	38	7	0	3
3	4	18	3	0	1
2	4	31	6	4	4
2	3	4	0	1	4
3	4	33	6	5	6
0	2	29	5	5	5
0	3	11	2	5	5
1	3	19	3	2	4
0	3	17	3	0	6
2	5	33	6	2	4
2	6	26	5	0	2
3	4	9	1	5	3
3	3	37	7	0	6
0	4	39	7	5	5
0	4	3	0	1	0
3	4	25	5	5	1
0	5	7	1	0	5
3	3	15	3	3	2
2	2	13	2	5	5
1	2	34	6	3	1
0	6	1	0	0	6
0	0	24	4	0	0
2	2	9	1	3	6
1	6	14	2	4	3
0	5	30	6	3	0
3	0	44	8	1	0
1	0	7	1	5	4
0	6	2	0	2	3
2	0	21	4	5	0
1	1	8	1	2	2
1	5	13	2	5	1
1	0	36	7	5	3
2	6	35	7	5	1
3	1	43	8	3	1
1	6	40	8	1	3
2	6	1	0	5	0
3	7	11	2	1	6
3	4	13	2	4	3
2	3	16	3	4	2
2	0	11	2	0	3
1	1	14	2	1	1
0	7	35	7	1	4
1	3	42	8	3	4
0	1	19	3	2	5
2	7	26	5	5	0
2	0	22	4	0	0
